"title","subtitle","authors","categories","thumbnail","description","published_year","average_rating","num_pages","short_descript"
"The Farming of Bones","A Novel","Edwidge Danticat","Fiction","http://books.google.com/books/content?id=_457QgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","In 1937, on the Dominican side of the Haiti border, Amabelle, an orphaned maid to an army colonel's wife, falls in love with Sebastien, an itinerant sugarcane cutter, but their relationship is threatened by the violent persecution of the Haitians. Reprint.","1999","4.07","312","In 1937, on the Dominican side of the Haiti border, Amabelle, an orphaned maid to an army colonel's wife, falls in love with Sebastien, an itinerant sugarcane cutter, but their relationship is threate"
"Critical Studies","The Great Gatsby","Kathleen Parkinson","Literary Criticism","http://books.google.com/books/content?id=_69cqaa7pnsC&printsec=frontcover&img=1&zoom=1&source=gbs_api","A critical analysis of Fitzgerald's great novel explores its intricate patterns, chronology, locations, imagery and use of colour, and how these contribute to a seamless interplay of social comedy and symbolic landscape.","1988","3.88","144","A critical analysis of Fitzgerald's great novel explores its intricate patterns, chronology, locations, imagery and use of colour, and how these contribute to a seamless interplay of social comedy and"
"Friday","","Robert Anson Heinlein","Fiction","http://books.google.com/books/content?id=_6flyQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","Beautiful Friday, a genetically engineered courier of the future, travels from New Zealand to Canada to beyond, as she engages in a series of daring and intriguing assignments. By the author of Starship Troopers. Reprint.","1997","3.83","384","Beautiful Friday, a genetically engineered courier of the future, travels from New Zealand to Canada to beyond, as she engages in a series of daring and intriguing assignments. By the author of Starsh"
"The Feynman Lectures on Physics","","Richard Phillips Feynman;Robert B. Leighton;Matthew Linzee Sands","Science","http://books.google.com/books/content?id=_6XvAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","This revised edition of Feynmanâ€™s legendary lectures includes extensive corrections Feynman and his colleagues received and Caltech approved, making this the definitive edition ofThe Feynman Lectures on Physics. For all readers interested in physics.","1963","4.62","384","This revised edition of Feynmanâ€™s legendary lectures includes extensive corrections Feynman and his colleagues received and Caltech approved, making this the definitive edition ofThe Feynman Lecture"
"The Days Are Just Packed","","Bill Watterson","Humor","http://books.google.com/books/content?id=_7jI4ZPuztUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","The irrepressible Calvin, aided by his mischievous tiger sidekick, Hobbes, sets out to save the world with his alter egos, Spaceman Spiff and Stupendous Man, while coping with Miss Wormwood, Santa, Susie, and the monsters under his bed. Simultaneous.","1993","4.69","176","The irrepressible Calvin, aided by his mischievous tiger sidekick, Hobbes, sets out to save the world with his alter egos, Spaceman Spiff and Stupendous Man, while coping with Miss Wormwood, Santa, Su"
"Rainbow Six","","Tom Clancy","Fiction","http://books.google.com/books/content?id=_7jR_ifoeQoC&printsec=frontcover&img=1&zoom=1&source=gbs_api","In a novel of military intrigue, formidable ex-Navy SEAL John Clark takes on a world-threatening band of terrorists","1999","4.08","912","In a novel of military intrigue, formidable ex-Navy SEAL John Clark takes on a world-threatening band of terrorists"
"Pirates of the Caribbean: The Siren Song - Jack Sparrow Book #2","Junior Novel","Rob Kidd","Juvenile Fiction","http://books.google.com/books/content?id=_7OzAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","Still on a mission to find the legendary Sword of CortÃ¢es, the crew of the Barnacle becomes entranced by an ethereal song that pulls them away from their mission, leaving Captain Jack Sparrow to have to find the source behind the dark spell.","2006","3.86","123","Still on a mission to find the legendary Sword of CortÃ¢es, the crew of the Barnacle becomes entranced by an ethereal song that pulls them away from their mission, leaving Captain Jack Sparrow to have"
"Slightly Wicked","","Mary Balogh","Fiction","http://books.google.com/books/content?id=_9eMDQAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","Judith allows herself one night of reckless passion with a heroic stranger before settling into a dreary life as her aunt's companion, but she is shocked when the stranger arrives at her aunt's home, Harewood Grange, to woo her cousin.","2003","4","342","Judith allows herself one night of reckless passion with a heroic stranger before settling into a dreary life as her aunt's companion, but she is shocked when the stranger arrives at her aunt's home, "
"Witness for the Prosecution & Selected Plays","","Agatha Christie","English drama","http://books.google.com/books/content?id=_9u7AAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","Newly-Jacketed Edition Designed To Celebrate The 50Th Anniversary Of Christie S Faultlessly Plotted Witness For The Prosecution And Other Outstanding Plays. The Perfect Complement To The Latest Edition Of The Mousetrap And Selected Plays (50Th Aniversary Edition). Headlining This Book Is Witness For The Prosecution Christie S Highly Successful Stage Play Which Won The New York Drama Critics Circle Award For Best Foreign Play. A Stunning Courtroom Drama, It Tells The Story Of A Scheming Wife Testifying Against Her Husband In A Shocking Murder Trial. The Wild Beauty Of A Seaside House Perched High On The Devonshire River Tern Provides A Stunning Back-Drop In Towards Zero As A Psychopathic Murderer Homes In On The Unsuspecting Victims. Passion, Murder And Love Are The Deadly Ingredients In Verdict, Making It One Of Christie S More Unusual Thrillers And Prompting Her To Label It The Best Play I Have Written With The Exception Of Witness For The Prosecution . Go Back For Murder Tells The Story Of The Young And Feisty Carla Who, Orphaned At The Tender Age Of Five, Discovers Her Mother Was Imprisioned For Murdering Her Father And Determines To Prove Her Innocence.","1995","4.05","352","Newly-Jacketed Edition Designed To Celebrate The 50Th Anniversary Of Christie S Faultlessly Plotted Witness For The Prosecution And Other Outstanding Plays. The Perfect Complement To The Latest Editio"
"Zero Debt","The Ultimate Guide to Financial Freedom","Lynnette Khalfani","Business & Economics","http://books.google.com/books/content?id=_9URQoEdKYcC&printsec=frontcover&img=1&zoom=1&source=gbs_api","Provides practical advice on getting out of debt, setting a budget, and managing personal finances to guaranteea a healthy financial future and retirement.","2004","3.65","204","Provides practical advice on getting out of debt, setting a budget, and managing personal finances to guaranteea a healthy financial future and retirement."
"Glamorous Powers","","Susan Howatch","Clergy","http://books.google.com/books/content?id=_bhPYWs6RrYC&printsec=frontcover&img=1&zoom=1&source=gbs_api","Reissue of the author's most famous and well-loved work, the Starbridge series, six self-contained yet interconnected novels that explore the history of the Church of England through the 20th century.","1996","4.2","512","Reissue of the author's most famous and well-loved work, the Starbridge series, six self-contained yet interconnected novels that explore the history of the Church of England through the 20th century."
"The Little Red Lighthouse and the Great Gray Bridge","","Hildegarde Hoyt Swift;Lynd Ward","Juvenile Fiction","http://books.google.com/books/content?id=_bJOvgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","A little lighthouse on the Hudson River regains its pride when it finds out that it is still useful and has an important job to do, in a tale first published in 1942. Reprint. 30,000 first printing","2003","4.26","64","A little lighthouse on the Hudson River regains its pride when it finds out that it is still useful and has an important job to do, in a tale first published in 1942. Reprint. 30,000 first printing"
"Invisible Residents","The Reality of Underwater UFOs","Ivan T. Sanderson","Body, Mind & Spirit","http://books.google.com/books/content?id=_BKYTHMBLj8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","This book is a groundbreaking contribution to the study of the UFO enigma, originally published over 30 years ago. In this book, Sanderson, a renowned zoologist with a keen interest in the paranormal, puts forward the curious theory that Ã¢eoeOINTS""-Other Intelligences-live under the EarthÃ¢e(tm)s oceans. This underwater, parallel, civilization may be twice as old as Homo sapiens, he proposes, and may have Ã¢eoedeveloped what we call space flight."" Sanderson postulates that the OINTS are behind many UFO sightings as well as the mysterious disappearances of aircraft and ships in the Bermuda Triangle. What better place to have an impenetrable base than deep within the oceans of the planet? Yet, if UFOs, or at least some of them, are coming from beneath our oceans or lakes, does it necessarily mean that there is another civilization besides our own that is responsible? In fact, could it be that since WWII a number of underwater UFO bases have been constructed by the very human governments of our planet? Whatever their source, Sanderson offers here an exhaustive study of USOs (Unidentified Submarine Objects) observed in nearly every part of the world. He presents many well-documented and exciting case studies of these unusual sightings; more.","2005","3.68","100","This book is a groundbreaking contribution to the study of the UFO enigma, originally published over 30 years ago. In this book, Sanderson, a renowned zoologist with a keen interest in the paranormal,"
"Nigella Bites","From Family Meals to Elegant Dinners -- Easy, Delectable Recipes For Any Occasion","Nigella Lawson","Cooking","http://books.google.com/books/content?id=_BpZPQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","With her charming style, delicious recipes, bestselling cookbooks, and popular cooking show, Nigella Lawson has become a household name -- symbolizing all that is sumptuous and pleasurable about food. In Nigella Bites, Nigella shares her favorite recipes that are easy to make after a busy day at the office, perfect to linger over during a lazy weekend, or fun to make with kids on a rainy afternoon. All the recipes are delectable to read, dreamy to look at, and, of course, delicious to eat. Whether cooking Pasta E Fagioli or baking Orange Breakfast Muffins, Nigella knows just how to achieve maximum flavor with minimum effort.","2002","3.99","254","With her charming style, delicious recipes, bestselling cookbooks, and popular cooking show, Nigella Lawson has become a household name -- symbolizing all that is sumptuous and pleasurable about food."
"The Psychology of Winning","","Denis Waitley","Psychology","http://books.google.com/books/content?id=_CcCAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","""A heavyweight amoung motivational writers.""?Charles Paul conn, author of An Uncommon Freedom.","1986","4.2","176","""A heavyweight amoung motivational writers.""?Charles Paul conn, author of An Uncommon Freedom."
"The Crow: The Lazarus Heart","","Poppy Z. Brite","Fiction","http://books.google.com/books/content?id=_ccsPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","As S&M photographer Jared Poe waits on Louisiana's Death Row to be executed for the murder of his lover, he can not imagine that his search for the true killer will continue after his death in the shadowy realm of The Crow","1999","3.7","336","As S&M photographer Jared Poe waits on Louisiana's Death Row to be executed for the murder of his lover, he can not imagine that his search for the true killer will continue after his death in the sha"
"The Spirit Level","Poems","Seamus Heaney","Poetry","http://books.google.com/books/content?id=_cOkdT2-to8C&printsec=frontcover&img=1&zoom=1&source=gbs_api","The Nobel Prize-winning author presents a volume of poems that explores life's new beginnings, the significance of ordinary objects, the legacy of a deceased Scottish poet, and the situation in his native Northern Ireland. Reprint.","1997","4.15","82","The Nobel Prize-winning author presents a volume of poems that explores life's new beginnings, the significance of ordinary objects, the legacy of a deceased Scottish poet, and the situation in his na"
"History of Philosophy","","Frederick Charles Copleston","Philosophy","http://books.google.com/books/content?id=_cxGPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","Evaluates important elements of Western philosophy from its classical origins to the present.","1994","4.22","496","Evaluates important elements of Western philosophy from its classical origins to the present."
"First Impressions","","Nora Roberts","Fiction","http://books.google.com/books/content?id=_dJ_GobnZRIC&printsec=frontcover&img=1&zoom=1&source=gbs_api","""New York Times"" bestselling author Nora Roberts offers a holiday romance about a wealthy businessman who retreats to a rural area to get away from women. However, his gracious, persistent--and beautiful--neighbor has something he just cannot ignore. Together, they discover that love is the greatest Christmas gift of all.","1992","3.74","250","""New York Times"" bestselling author Nora Roberts offers a holiday romance about a wealthy businessman who retreats to a rural area to get away from women. However, his gracious, persistent--and beauti"
"The Girlhood Diary of Louisa May Alcott, 1843-1846","Writings of a Young Author","Louisa May Alcott","Juvenile Nonfiction","http://books.google.com/books/content?id=_dP353QNgTkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","Excerpts from the girlhood diary of Louisa May Alcott, describing her family life, lessons, and experiences on a communal farm in the 1840s. Includes sidebars, activities, and a timeline related to this era.","2001","3.87","32","Excerpts from the girlhood diary of Louisa May Alcott, describing her family life, lessons, and experiences on a communal farm in the 1840s. Includes sidebars, activities, and a timeline related to th"
"The Liars' Club","A Memoir","Mary Karr","Biography & Autobiography","http://books.google.com/books/content?id=_DqZPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","The author, a poet, recounts her difficult childhood growing up in a Texas oil town.","2005","3.93","320","The author, a poet, recounts her difficult childhood growing up in a Texas oil town."
"Wizard","The Life and Times of Nikola Tesla : Biography of a Genius","Marc J. Seifer","Biography & Autobiography","http://books.google.com/books/content?id=_EKV1A22x0sC&printsec=frontcover&img=1&zoom=1&source=gbs_api","Original material and recently acquired documents form the foundation of a biography of the man who served as an inspiration for modern electrical inventions","1998","3.77","542","Original material and recently acquired documents form the foundation of a biography of the man who served as an inspiration for modern electrical inventions"
"Virginia Woolf","An Inner Life","Julia Briggs","Biography & Autobiography","http://books.google.com/books/content?id=_Fn2kILpMkoC&printsec=frontcover&img=1&zoom=1&source=gbs_api","A portrait of the influential twentieth-century writer steps away from traditional explorations of her Bloomsbury social circles to reveal how her life was centered on her writing, drawing on letters, diaries, and essays to explain how her written works reflect her formative experiences and creative philosophies. Reprint.","2006","4.17","544","A portrait of the influential twentieth-century writer steps away from traditional explorations of her Bloomsbury social circles to reveal how her life was centered on her writing, drawing on letters,"
"The Last Book of Swords: Shieldbreaker's Story","","Fred Saberhagen","Fiction","http://books.google.com/books/content?id=_fvzjK3FsXkC&printsec=frontcover&img=1&zoom=1&source=gbs_api","Created by gods, the forged Twelve Swords can kill the gods themselves if they fall into human hands, and when Vilkata the Dark King returns from exile determined to get the swords, only an untested boy, with Shieldbreaker in hand, stands in the man's way. Reissue.","1995","3.88","255","Created by gods, the forged Twelve Swords can kill the gods themselves if they fall into human hands, and when Vilkata the Dark King returns from exile determined to get the swords, only an untested b"
"Star Wars","Labyrinth of Evil","James Luceno","Fiction","http://books.google.com/books/content?id=_g7TCwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","Obi-Wan Kenobi and Anakin Skywalker embark on a mission to uncover the wearabouts of the evil Sith Lord, Darth Sidious, only to become trapped in a labyrinthine web of lies, betrayal, and intrigue.","2005","3.84","370","Obi-Wan Kenobi and Anakin Skywalker embark on a mission to uncover the wearabouts of the evil Sith Lord, Darth Sidious, only to become trapped in a labyrinthine web of lies, betrayal, and intrigue."
"The Fourth of July Story","","Alice Dalgliesh","Juvenile Nonfiction","http://books.google.com/books/content?id=_gaVAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","Two-time Newbery Honor author Alice Dalgliesh makes history come alive in this accessible story of America's birthday. Full color.","1995","4","32","Two-time Newbery Honor author Alice Dalgliesh makes history come alive in this accessible story of America's birthday. Full color."
"Warlock","A Novel of Ancient Egypt","Wilbur Smith","Fiction","http://books.google.com/books/content?id=_GBCl-x8npUC&printsec=frontcover&img=1&zoom=1&source=gbs_api","After the death of his beloved Queen Lostris, Taita heads to the harsh deserts of North Africa to devote himself to a study of the occult, to become a warlock, and to fulfill his destiny to protect the dynasty of Lostris from the evil that threatens ancient Egypt. Reprint.","2002","4.04","642","After the death of his beloved Queen Lostris, Taita heads to the harsh deserts of North Africa to devote himself to a study of the occult, to become a warlock, and to fulfill his destiny to protect th"
"He Sees You When You're Sleeping","A Novel","Mary Higgins Clark;Carol Higgins Clark","Fiction","http://books.google.com/books/content?id=_GeyXWZySMgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","Sterling Brooks is sent back to Earth by the Heavenly Council to help reunite a heartbroken seven-year-old girl with her father and grandmother, who were forced into the witness protection program because two mobsters have put a price on their heads. Reprint.","2002","3.79","230","Sterling Brooks is sent back to Earth by the Heavenly Council to help reunite a heartbroken seven-year-old girl with her father and grandmother, who were forced into the witness protection program bec"
"Choke","","Stuart Woods","Fiction","http://books.google.com/books/content?id=_H-mz4TopZ4C&printsec=frontcover&img=1&zoom=1&source=gbs_api","Chuck Chandler, a Key West tennis pro, tends to choke in his big matches, a tendency he must overcome when he meets Harry Carras and his beautiful wife Clare, and becomes a suspect in Harry's death","1996","3.83","352","Chuck Chandler, a Key West tennis pro, tends to choke in his big matches, a tendency he must overcome when he meets Harry Carras and his beautiful wife Clare, and becomes a suspect in Harry's death"
"Chomsky on Anarchism","","Noam Chomsky","Political Science","http://books.google.com/books/content?id=_HkOaB89p7YC&printsec=frontcover&img=1&zoom=1&source=gbs_api","One of the world's leading radical intellectuals moves beyond criticism as hegives a vision of an anarchist future.","2005","3.95","256","One of the world's leading radical intellectuals moves beyond criticism as hegives a vision of an anarchist future."
"The First Four Years","","Laura Ingalls Wilder","Juvenile Fiction","http://books.google.com/books/content?id=_HqHxm0kuIUC&printsec=frontcover&img=1&zoom=1&source=gbs_api","During their first four years of marriage, Laura and Almanzo Wilder have a child and fight a losing battle in their attempts to succeed at farming on the South Dakota prairie. Reissue.","2007","3.88","126","During their first four years of marriage, Laura and Almanzo Wilder have a child and fight a losing battle in their attempts to succeed at farming on the South Dakota prairie. Reissue."
"Dominion","The Power of Man, the Suffering of Animals, and the Call to Mercy","Matthew Scully","Nature","http://books.google.com/books/content?id=_htG-Pi2GboC&printsec=frontcover&img=1&zoom=1&source=gbs_api","Argues for responsible action in the treatment of animals, challenging popular conceptions about animal feeling and awareness and profiling a safari convention, factory farm, and the works of top writers.","2003","4.16","448","Argues for responsible action in the treatment of animals, challenging popular conceptions about animal feeling and awareness and profiling a safari convention, factory farm, and the works of top writ"
"How to Draw the Legend of Zelda","","Michael Teitelbaum;Ron Zalme","Juvenile Nonfiction","http://books.google.com/books/content?id=_hw4HAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","Provides step-by-step instructions for drawing Princess Zelda, Link, King Dodongo, Deku Scrub, and other characters from the video game ""The Legend of Zelda.""","2004","4.19","32","Provides step-by-step instructions for drawing Princess Zelda, Link, King Dodongo, Deku Scrub, and other characters from the video game ""The Legend of Zelda."""
"Amsterdam","","Andrew Bender","Travel","http://books.google.com/books/content?id=_iiWTKQTt7sC&printsec=frontcover&img=1&zoom=1&source=gbs_api","Marvel at the Dutch Masters and take a step back in time in an elegant merchant's house. Join the late-night revellers in the Red Light District or cosy-up canalside in a "" brown cafÃ© "". Get the low-clown on Queen's Day and see the Royal Orchestra at the Concertgebouw. Elegant, history-steeped port; liberal, laid-back party town. Connect with your Amsterdam using this stylish and streetwise guide. Comprehensive listings - more than 250 reviews of 4 the best restaurants, cafÃ©s, coffeeshops and clubs in town. Expanded architecture chapter - get gable- gazing with our chapter dedicated to this remarkable city's characterful buildings. Be informed - in-depth analysis of current events gets you under the skin of the city. Explore the city your way- tailor-made cycling and walking tours and recommended canal cruises","2006","3.87","298","Marvel at the Dutch Masters and take a step back in time in an elegant merchant's house. Join the late-night revellers in the Red Light District or cosy-up canalside in a "" brown cafÃ© "". Get the low-"
"The Rise and Fall of Anne Boleyn","Family Politics at the Court of Henry VIII","Retha M. Warnicke","History","http://books.google.com/books/content?id=_iUIzcXV4toC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","Retha Warnicke's fascinating and controversial reinterpretation focuses on the sexual intrigues and family politics pervading the court, offering a new explanation of Anne's fall.","1991","3.95","338","Retha Warnicke's fascinating and controversial reinterpretation focuses on the sexual intrigues and family politics pervading the court, offering a new explanation of Anne's fall."
"A Lie and a Libel","The History of the Protocols of the Elders of Zion","Binjamin W. Segel","History","http://books.google.com/books/content?id=_Jc4n1s0_ugC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","A strange and repugnant mystery of the twentieth century is the durability of the Protocols of the Elders of Zion, a clumsy forgery purporting to be evidence of the supposed Jewish plot to rule the world. Though it has been exposed as a forgery, some apprentice brownshirt is always rediscovering it, the latest in a line of gullibility that includes, most famously, Henry Ford. Recently it has been translated into Japanese and circulates once again with renewed virulence in the former Soviet Union and Eastern Europe. In 1924 in Germany the Jewish author and journalist Binjamin Segel wrote a major historical exposÃ© of the fraud and later edited his work into a shorter form, published as Welt-Krieg, Welt-Revolution, Welf-VerschwÃ¶rung, Welt-Oberregierung (Berlin 1926). Translator Richard S. Levy, a specialist on the history of anti-semitism, provides an extensive introduction on the circumstances of Segel's work and the story of the Protocols up to the 1990s, including an explanation of its continuing psychological appeal and political function.","1996","3.56","148","A strange and repugnant mystery of the twentieth century is the durability of the Protocols of the Elders of Zion, a clumsy forgery purporting to be evidence of the supposed Jewish plot to rule the wo"
"Shade's Children (rack)","","Garth Nix","Juvenile Fiction","http://books.google.com/books/content?id=_jlglwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","The Key to Survival Rests in the Hands of Shade's Children In a futuristic urban wasteland, evil Overlords have decreed that no child shall live a day past his fourteenth birthday. On that Sad Birthday, the child is the object of an obscene harvest resulting in the construction of a machinelike creature whose sole purpose is to kill. The mysterious Shade -- once a man, but now more like the machines he fights -- recruits the few children fortunate enough to escape. With luck, cunning, and skill, four of Shade's children come closer than any to discovering the source of the Overlords' power -- and the key to their downfall. But the closer the children get, the more ruthless Shade seems to become ...","1998","3.9","345","The Key to Survival Rests in the Hands of Shade's Children In a futuristic urban wasteland, evil Overlords have decreed that no child shall live a day past his fourteenth birthday. On that Sad Birthda"
